instance,Dimension,Environment,Ratio
1,10,LOCAL,44276.6
2,10,LOCAL,38471.86
3,10,LOCAL,41205
4,10,LOCAL,47528.43
5,10,LOCAL,50398.57
6,10,LOCAL,41895.14
7,10,LOCAL,47166.29
8,10,LOCAL,42229.29
9,10,LOCAL,36026.86
10,10,LOCAL,48311.88
11,10,LOCAL,48605.71
12,10,LOCAL,47335.29
13,10,LOCAL,50074.86
14,10,LOCAL,40976.5
15,10,LOCAL,47226
1,20,LOCAL,38382.57
2,20,LOCAL,37167.46
3,20,LOCAL,34120.95
4,20,LOCAL,36134.43
5,20,LOCAL,34367.6
6,20,LOCAL,37293
7,20,LOCAL,33598.14
8,20,LOCAL,34710.59
9,20,LOCAL,37554.35
10,20,LOCAL,35646.78
11,20,LOCAL,31847.04
12,20,LOCAL,37616.18
13,20,LOCAL,37796.58
14,20,LOCAL,35489.14
15,20,LOCAL,36101.86
1,10,SINGLE,19812.7
2,10,SINGLE,18925.65
3,10,SINGLE,18104.48
4,10,SINGLE,17869.04
5,10,SINGLE,19325.14
6,10,SINGLE,18922.64
7,10,SINGLE,18193.05
8,10,SINGLE,17635.09
9,10,SINGLE,17737.65
10,10,SINGLE,16051.31
11,10,SINGLE,19167.67
12,10,SINGLE,15436.39
13,10,SINGLE,18514.19
14,10,SINGLE,16571.53
15,10,SINGLE,19394.35
1,20,SINGLE,17332.36
2,20,SINGLE,15206.44
3,20,SINGLE,15928.96
4,20,SINGLE,16578.57
5,20,SINGLE,16391.28
6,20,SINGLE,15991.96
7,20,SINGLE,16613.49
8,20,SINGLE,16692.68
9,20,SINGLE,15128.5
10,20,SINGLE,16249.71
11,20,SINGLE,16845.48
12,20,SINGLE,16546.95
13,20,SINGLE,17224.79
14,20,SINGLE,16903.72
15,20,SINGLE,15794.1
1,10,MULTI,41266.89
2,10,MULTI,40466.45
3,10,MULTI,39019.38
4,10,MULTI,39373.6
5,10,MULTI,41810.86
6,10,MULTI,39946.68
7,10,MULTI,43088.77
8,10,MULTI,42634.66
9,10,MULTI,39800.4
10,10,MULTI,40431.79
11,10,MULTI,41436.63
12,10,MULTI,39436.07
13,10,MULTI,41255.61
14,10,MULTI,38646.85
15,10,MULTI,40965.4
1,20,MULTI,33701.82
2,20,MULTI,34938.57
3,20,MULTI,31749.02
4,20,MULTI,35111.83
5,20,MULTI,35292.1
6,20,MULTI,33991.45
7,20,MULTI,34415.49
8,20,MULTI,33435.19
9,20,MULTI,33516.75
10,20,MULTI,32686.73
11,20,MULTI,32718.75
12,20,MULTI,34367.13
13,20,MULTI,35213.52
14,20,MULTI,33916.02
15,20,MULTI,33113.4
